type,id,addr:city,addr:housenumber,addr:postcode,addr:street,check_date,email,name,opening_hours,operator,phone,service:bicycle:ebike,service:bicycle:parts,service:bicycle:repair,shop,website,id_prop,created_by,service:bicycle:retail,service:bicycle:second_hand,addr:country,service:bicycle:bike,service:bicycle:cleaning,service:bicycle:clothing,service:bicycle:dealer,service:bicycle:mtb,service:bicycle:service,service:bicycle:tools,image,payment:credit_cards,payment:debit_cards,service:bicycle:pump,wheelchair,amenity,check_date:opening_hours,contact:email,fax,level,service:bicycle:rental,addr:housename,addr:housenumber:old,addr:street:old,designation,source,addr:place,service:bicycle:diy,contact:fax,contact:phone,addr:floor,payment:cash,check_date:currency:XBT,currency:XBT,description,payment:lightning,payment:lightning_contactless,payment:onchain,service:bicycle:Bicycle_Sales_and_Service,service:bicycle:bicycle,service:bicycle:chain_tool,service:bicycle:sales,contact:website,check_date:service:bicycle:retail,addr:suburb,commons,repair,atm,vending,vending_machine,payment:mastercard,alt_name,brand,brand:wikidata,brand:wikipedia,note,payment:american_express,payment:diners_club,payment:ep_geldkarte,payment:jcb,payment:maestro,payment:unionpay,payment:visa,bicycle,information,map_size,map_type,mtb,tourism,entrance,ele,at_bev:addr_date,mobile,start_date,compressed_air,contact:facebook,contact:instagram,contact:mobile,contact:name,payment:contactless,phone:mobile,check_date:service:bicycle:pump,service,payment:cards,payment:coins,payment:notes,identity,provides,source:date,toilets:wheelchair,fixme,service:bicycle:sportswear,advertising,cafe,old_name,poster,barrier,nobrand,payment:app,payment:apple_pay,addr:unit,payment:account_cards,opening_hours:signed,step_count,addr:door,payment:v_pay,service:bicycle:bicycle_sales_and_service,UID,opening_hours:url,service:bicycle:cargobike,not:brand:wikidata,ref:vatin,internet_access,second_hand,parts,official_name,service:bicycle:rental:electric_mtb,service:bicycle:rental:mtb,service:bicycle:rims,service:bicycle:wheels,service:bicycle:emtb,service:bicycle:screwdriver,currency:EUR,payment:girocard,payment:visa_debit,service:bicycle:chaintool,service:bicycle:service_case,service:bicycle:stand,service:bicycle:suspension,service:bicycle:suspension_service,service:bicycle:wash,stroller,operator:wikidata,service:bicycle:charging,bicycle:rental,alt_name:de,payment:credit_card,trade,bicycle:type,addr:hamlet,url,building:levels,addr:flats,air_conditioning,service:bicycle:spare_parts,toilets,rental,internet_access:fee,fee,contact:whatsapp,internet,payment:paypal,service:bicycle:tuning,sport,branch,check_date:service:bicycle:repair,toilets:access,toilets:fee,toilets:gender_segregated,access,opening_date,service:bicycle:accessories,instagram,capacity,operator:type,bicycle_rental,payment:qr_code,changing_table,dog,handwashing:soap,toilets:handwashing,toilets:paper_supplied,toilets:position,geometry
Feature,node/1448091709,Salzburg,20a,5020,Bayerhamerstraße,2023-11-18,office@gt2.at,Gran Tourismo Bike,"Tu-We 9:00-18:00; Th-Fr 9:00-19:00; Sa 9:00-13:00 || ""nach Vereinbarung""",Gran Tourismo Bike GmbH,+43 660 8390600;+43 660 2301074,yes,yes,yes,bicycle,https://www.gt2.bike/,node/1448091709,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[13.0506779,47.8133299]}"
Feature,node/1458853734,Niederwaldkirchen,41,4174,,,,Popaflo GmbH,,,,,,,bicycle,https://www.popaflo.at,node/1458853734,,,,AT,,,,,,,,,,,,,,,,,,,,,,,,Baumgartsau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[14.090588,48.4631041]}"
Feature,node/1461626973,Wien,48,1020,Praterstraße,,sporthausrih@gmx.at,Radsport RIH,"Mo-Fr 08:30-13:00,14:00-18:00; Sa 08:30-12:00",,+43 1 2145180,,,yes,bicycle,https://radsport-rih.webnode.at,node/1461626973,,yes,,AT,,,,,,,,,,,no,yes,,2025-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.3863845,48.2155277]}"
Feature,node/1467238436,Wien,33,1070,Neubaugasse,2025-09-16,,Vello Bike,Tu-Fr 10:30-18:30; Sa 10:30-17:00,,,,,,bicycle,https://vello.bike,node/1467238436,,,,AT,,,,,,,,,,,no,no,,2025-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.3489357,48.2015269]}"
Feature,node/1468342897,,30,5203,Spanswag,,,Top-in-Form,,,,,,,bicycle,https://www.top-in-form.at/,node/1468342897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[13.1739672,47.9646574]}"
Feature,node/1469249660,Wolkersdorf im Weinviertel,12,2120,Hauptstraße,,,Hrebenda,"Mo-Fr 08:00-12:00, Mo-We 15:00-18:00; Fr 15:00-18:00; Sa 09:00-12:00; PH off",,,,,,bicycle,https://zweirad-hrebenda.at/kontakt/,node/1469249660,,,,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,+43 2245 2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.5165531,48.3842126]}"
Feature,node/1474026700,,,,,,,Innfeld,"Mo-We,Fr 08:00-12:00,14:00-18:00; Th,Sa off",,,,,,bicycle,,node/1474026700,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[9.5979984,47.2576736]}"
Feature,node/1487926922,Klagenfurt am Wörthersee,,,,2022-10-07,,Beinl Ihr Zweiradfachmann,"Mo-Fr 08:30-12:00,14:30-18:00",,,,,yes,bicycle,,node/1487926922,,,,AT,,,,,,,,,,,,yes,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[14.2867451,46.6127431]}"
Feature,node/1488953956,,,,,,shop@radsport-ploeckinger.at,Radsport Plöckinger,,,,,,yes,bicycle,,node/1488953956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[13.9179678,48.4081022]}"
Feature,node/1534663023,Waidhofen an der Ybbs,5,3340,Ybbstorgasse,,,Radsport Ginner,"Tu-Fr 08:00-12:00, 14:30-18:00; Sa 08:30-12:00",,,,,yes,bicycle,https://ginnersport.com/pages/waidhofen,node/1534663023,,yes,,AT,,,,,,,,,,,,yes,,,,,,,,,,,,,,,+43 7442 553 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[14.7760583,47.9606164]}"
Feature,node/1559378334,Radenthein,6,9545,Holunderweg,,,Armin's Radlwerkstatt,,,,,,yes,bicycle,https://www.arminsradlwerkstatt.at/,node/1559378334,,yes,no,AT,,,,,,,,,,,yes,no,,,,,-1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[13.7198633,46.7949473]}"
Feature,node/1560353447,,,,,,,Zweiradcenter Mörtenbäck,,,,,,yes,bicycle,,node/1560353447,,yes,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[14.0232453,48.3093921]}"
Feature,node/1614008622,Zeltweg,14,8740,Bundesstraße,,office@sportundservice4you.at,Sport und Service 4 you,"Mo-Fr 09:00-12:00,14:30-18:00",,+43 3577 20934,,,,bicycle,http://www.sportundservice4you.at,node/1614008622,,yes,,AT,,,,,,,,,,,,,,,,,,,,,,"Fahrräder, Langlauf, Tennis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[14.7464601,47.1952709]}"
Feature,node/1637028174,,,,,,,2radholly,"Mo off; Tu-Fr 08:00-12:00; Sa 08:00-13:00; Su,PH off",Marc Bösch,,,,yes,bicycle,,node/1637028174,,yes,yes,,,,,,,,,,,,,,,,info@2radholly.at,,,,,,,,,,,,+43 5577 82471,,,,,,,,,,,,,http://www.2radholly.at/,,,,,,,,,2rad Holly,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/2RadHollyMarcBoesch/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[9.6598608,47.4307073]}"
Feature,node/1672769692,St. Pölten,33,3100,Mariazeller Straße,,,Red plates,,,+43 2742 41 911,,,,bicycle,https://redplates.at/,node/1672769692,,,,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[15.621467,48.1967696]}"
Feature,node/1693933200,Sankt Johann im Pongau,19,5600,Färbergasse,,shop@radsportgarage.at,Moser Radsport -Die Radsportgarage,"Mo-Tu 09:30-12:00,14:00-19:00; We 15:00-19:00; Th-Fr 09:30-12:00,14:00-19:00; Sa 09:00-12:00",Alexander Moser,+43 660 1424746,yes,,yes,bicycle,https://www.radsportgarage.at/,node/1693933200,,yes,,AT,,yes,,,,yes,,,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[13.2054624,47.3432389]}"
Feature,node/1699971801,Knittelfeld,19,8720,Frauengasse,,,Radhaus Murtal,,Inh. Gregor Wöhry,,,,,bicycle,http://www.haimlinger.at/,node/1699971801,,,,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[14.8276858,47.2152129]}"
Feature,node/1704169756,Wolfsberg,7,9400,Roßmarkt,,,Zweirad Scharf,,,+43 4352 3312,,,,bicycle,https://www.zweirad-scharf.at,node/1704169756,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[14.8410561,46.8393617]}"
Feature,node/1714539953,Mattersburg,1,7210,Hauptstraße,,,RADWELT Michi Knopf,,,+43 2626 63224,,,,bicycle,,node/1714539953,,,,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.3979137,47.7364178]}"
Feature,node/1717617411,,,,,,,Radhaus,,,,,,,bicycle,,node/1717617411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[13.517403,48.4071403]}"
Feature,node/1726625794,Wien,4,1050,Mittersteig,,kontakt@dasradhaus.at,Das Radhaus,Mo-Fr 11:00-19:00,,+43 1 3537234,,,yes,bicycle,http://dasradhaus.at/,node/1726625794,,no,yes,AT,,,,,,,,,,,yes,yes,,2026-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.3636715,48.1918909]}"
Feature,node/1727002927,Dornbirn,27,6850,Hatlerstraße,,,Fahrradhaus Winder,"Mo-Fr 08:00-12:00,14:00-18:00; Sa 09:00-12:00",Winder Gerhard GmbH,,,,yes,bicycle,,node/1727002927,,,,AT,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[9.7376622,47.4017044]}"
Feature,node/1729252913,Wien,9,1020,Tandelmarktgasse,,,Radort,"Mo,Fr 09:00-17:00",,+4318906437,,,yes,bicycle,http://radort.at,node/1729252913,,,yes,AT,,,,,,,,,,,,,,2026-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.3792381,48.2172643]}"
Feature,node/1729252918,Wien,19,1210,Galvanigasse,,wolfgang.dorfinger@chello.at,Dorfinger,"Mo-Fr 08:00-12:00, 14:00-18:00; Sa 09:00-12:00",,,,,,bicycle,https://www.2rad-dorfinger.at/,node/1729252918,,,,AT,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.3936586,48.2638194]}"
Feature,node/1731066461,Wien,13,1020,Praterstraße,,,VELETAGE - Salon für Radkultur,Tu-Fr 11:00-18:00; Sa 10:00-17:00,veletage GmbH,+43 1 2124911,,,,bicycle,https://veletage.com/,node/1731066461,,,,AT,,,,,,,,,,,no,,,2025-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.3814861,48.2133232]}"
Feature,node/1731066483,Wien,2,1020,Gredlerstraße,,office@radmechaniker.at,Radmechaniker,Mar-Nov Mo-Fr 10:00-17:00; Dec Mo-Fr 10:00-14:00; Feb Mo-Fr 10:00-14:00; Dec 21-Jan 29 off; PH off,Horst May,+43 664 4415515,,,yes,bicycle,https://www.radmechaniker.at/,node/1731066483,,yes,,AT,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.3780968,48.2134856]}"
Feature,node/1753666825,Salzburg,39,5020,Fürstenallee,,,Radlfürst,"Mo-Fr 09:00-12:00,14:00-18:00; Sa 09:00-12:00",Radlfürst GmbH,+43 662 823723,,,,bicycle,https://www.radlfuerst.at/,node/1753666825,,,,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Der Radlfürst ist ein familiengeführtes Fahrradgeschäft mit Werkstätte in der Fürstenalle 39 im Stadtteil Nonntal, welches seit 1975 ein Traditionsstandort für das Thema „Fahrrad“ ist. Dein Ansprechpartner in der Umgebung für Familien und Alltagsradfahre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[13.0513348,47.785482]}"
Feature,node/1760084154,Innsbruck,97,6020,Fürstenweg,,,Bike Stadl,"Mo 10:00-15:00,16:00-19:00; Tu,Th,Fr 10:00-15:00",,,,,yes,bicycle,https://www.bike-stadl.at/,node/1760084154,,,,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hötting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[11.3722065,47.2615521]}"
Feature,node/1760393379,Feldkirch,77,6800,Austraße,,,Fahrrad Nachbaur,"Mo-We,Fr,Sa 09:00-12:00, Mo-We,Fr 16:00-19:00",,+43 5522 76407,,,yes,bicycle,,node/1760393379,,,,AT,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[9.5907915,47.263703]}"
Feature,node/1764558479,Wien,35,1070,Westbahnstraße,,info@reanimated-bikes.eu,Reanimated Bikes,"Mo-Fr 09:30-12:30,13:00-18:30",,,,,yes,bicycle,https://www.reanimated-bikes.eu/,node/1764558479,,,,AT,,,,,,,,,,,yes,no,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.3411008,48.2017211]}"
Feature,node/1774359945,Wiener Neudorf,10,2351,Nestroyweg,,,BIKEFLOH,,,,,,yes,bicycle,,node/1774359945,,,,AT,,,,,,,,,,,,,,,service@bikefloh.at,,,,,,,,,,,,,,,,,,,,,,,,,http://www.bikefloh.at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.3242913,48.0910149]}"
Feature,node/1774439001,,,,,,,Lietz - Radshop Ybbsitz,Mo-Fr 09:00-18:00,,,,,,bicycle,https://www.lietz.at/fahrrad/,node/1774439001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+43 7443 86512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[14.8960099,47.9485804]}"
Feature,node/1782556414,Graz,50,8020,Annenstraße,,,RadAktiv,"Mo-Fr 09:00-12:30, Sa 09:00-13:00, Mo-Fr 14:00-18:00; Su,PH off",,,,,yes,bicycle,,node/1782556414,,,,AT,,,,,,,,,,,no,no,,2025-06-06,,,0,,,,,,,,,,+43 316 23 21 01,,,,,,,,,,,,,https://www.radaktiv.at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poster,yes,EP:Grohs,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[15.4235824,47.0713965]}"
Feature,node/1801463093,,,,,,,Intersport,Mo-Fr 08:30-18:00; Sa 08:30-17:00,,+43 2952 2148,,,,bicycle,,node/1801463093,,,,,,,,,,,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.0796732,48.5682639]}"
Feature,node/1802826463,,,,,,,Alpensports,Mo-Fr 09:00-17:30; Sa 09:00-13:00,,,,,,bicycle,,node/1802826463,,,,,,,,,,,,,,,no,,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bus_trap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[13.2948539,46.7166711]}"
Feature,node/1815083800,Gaspoltshofen,12,4673,,,,Vormair,,Josef Vormaier,,,,,bicycle,,node/1815083800,,,,AT,,,,,,,,,,,,,,,,,,,,,,,,Jeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[13.7325048,48.1393727]}"
Feature,node/1845802485,Wien,2/6,1150,Toldgasse,,info@radstube.at,Radstube,"Mo 15:00-20:00, Mo-Fr *nach telefonischer Vereinbarung*",Radstubenkollektiv OG,+43 677 64339976,,,yes,bicycle,https://radstube.at/,node/1845802485,,,,AT,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[16.316342,48.2011789]}"
Feature,node/1852081106,Graz,27,8010,Kopernikusgasse,,,Die Radlerei,"Mo,Tu,Th 09:00-12:00,13:30-18:00; We,Fr 09:00-13:00",David Bernkopf,,,,yes,bicycle,https://www.dieradlerei.at/,node/1852081106,,,yes,AT,,,,,,,,,yes,yes,no,no,,2026-02-11,david@dieradlerei.at,,,,,,,,survey,,no,,+43 660 160 4029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[15.4516758,47.0652748]}"
Feature,node/1865461723,Graz,5,8010,Reiterweg,,,Steirerbike,"Mo-Fr 09:00-13:00, 14:00-18:00",,,,,yes,bicycle,https://www.steirerbike.at,node/1865461723,,yes,,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""type"":""Point"",""coordinates"":[15.4599728,47.0751127]}"
